category,country,status,objective,campaign_id,campaign_name,brand_name,primary_KPI,currency,ad_group_id,start_date,end_date,media_platform,channel,ad_placement,ad_format,sem_keyword_type,age_groups,genders,retargeting,interest,audience_type,billing_type,billing_unit_cost, budget , actual_spend , impressions , clicks , ctr , views , vtr , opens , sessions , conversions , conversion_rate , revenue , roas 
Apparel,DE,completed,conversion,ADIDAS_BF_001,Black Friday Mega Sale,Adidas,roas,EUR,ADIDAS_BF_SEM_BR_1,2024-11-10,2024-12-06,Google,SEM,Search,text,brand,"18-24,25-34,35-44",all,FALSE,"running,fashion",prospecting,cpc,0.72," 81,557 "," 81,557 "," 2,831,850 "," 113,274 ", 0.0400 ,, - ,," 79,292 "," 3,715 ", 0.047 ," 330,538 ", 4.1 
Apparel,DE,completed,conversion,ADIDAS_BF_001,Black Friday Mega Sale,Adidas,roas,EUR,ADIDAS_BF_SEM_GEN_1,2024-11-10,2024-12-06,Google,SEM,Search,text,generic,"18-24,25-34,35-44",all,FALSE,sportswear,prospecting,cpc,1.04," 8,443 "," 8,443 "," 162,860 "," 8,118 ", 0.0498 ,, - ,," 5,683 ", 392 , 0.069 ," 35,357 ", 4.2 
Apparel,DE,completed,conversion,ADIDAS_BF_001,Black Friday Mega Sale,Adidas,roas,EUR,ADIDAS_BF_META_PR_1,2024-11-10,2024-12-06,Instagram,SOCIAL,IG/FB Feed+Stories,image,,"18-24,25-34,35-44",all,TRUE,"running,fashion,lifestyle",prospecting,cpc,0.46," 97,861 "," 97,861 "," 4,625,750 "," 212,741 ", 0.0460 ,, - ,," 136,781 "," 7,877 ", 0.058 ," 925,741 ", 9.5 
Apparel,DE,completed,conversion,ADIDAS_BF_001,Black Friday Mega Sale,Adidas,roas,EUR,ADIDAS_BF_META_RT_1,2024-11-10,2024-12-06,Instagram,SOCIAL,IG/FB Feed+Stories,carousel,,"25-34,35-44",all,TRUE,high_intent,retargeting,cpc,0.63," 37,139 "," 37,139 "," 764,360 "," 58,951 ", 0.0771 ,, - ,," 39,851 "," 2,713 ", 0.068 ," 237,395 ", 6.4 
Apparel,DE,completed,conversion,ADIDAS_BF_001,Black Friday Mega Sale,Adidas,roas,EUR,ADIDAS_BF_YT_1,2024-11-10,2024-12-06,Youtube,DISPLAY,In-stream Click-to-Landing,video,,"18-24,25-34,35-44",all,FALSE,"running,community",prospecting,cpc,0.55," 69,338 "," 69,338 "," 2,290,036 "," 126,069 ", 0.0551 ," 575,775 ", 0.2514 ,," 88,248 "," 5,149 ", 0.058 ," 435,797 ", 6.3 
Apparel,DE,completed,conversion,ADIDAS_BF_001,Black Friday Mega Sale,Adidas,roas,EUR,ADIDAS_BF_CRITEO_RT_1,2024-11-10,2024-12-06,Criteo,DISPLAY,Dynamic Retargeting,native,,"25-34,35-44",all,TRUE,high_purchase_intent,retargeting,cpc,0.68," 35,662 "," 35,662 "," 1,474,432 "," 52,444 ", 0.0356 ,, - ,," 39,176 "," 2,502 ", 0.064 ," 197,559 ", 5.5 
Apparel,DE,completed,conversion,ADIDAS_BF_001,Black Friday Mega Sale,Adidas,roas,EUR,ADIDAS_BF_AFF_1,2024-11-10,2024-12-06,Awin,AFFILIATE,Publisher Mixed,native,,25-45,all,TRUE,,prospecting,cpa,8," 50,000 "," 50,000 ",,,,,,," 62,500 "," 3,486 ", 0.056 ," 394,451 ", 7.9 
Apparel,DE,completed,conversion,ADIDAS_BF_001,Black Friday Mega Sale,Adidas,roas,EUR,ADIDAS_BF_EMAIL_1,2024-11-10,2024-12-06,Salesforce Marketing Cloud,EMAIL,Inbox,html,,25-45,all,FALSE,,retargeting,flat," 20,000 "," 20,000 "," 20,000 ",,,,,," 35,000 "," 22,012 "," 1,704 ", 0.077 ," 141,585 ", 7.1 
Apparel,DE,completed,consideration,ADIDAS_LRC_001,Adidas Local Run Challenge,Adidas,sessions,EUR,ADIDAS_LRC_SEM_BR_1,2024-05-20,2024-06-30,Google,SEM,Search,text,brand,18-44,all,FALSE,"running,athleisure",prospecting,cpc,0.76," 4,000 "," 4,000 "," 134,274 "," 5,263 ", 0.0392 ,, - ,," 4,042 ", 113 , 0.028 ," 7,410 ", 1.9 
Apparel,DE,completed,consideration,ADIDAS_LRC_001,Adidas Local Run Challenge,Adidas,sessions,EUR,ADIDAS_LRC_META_PR_1,2024-05-20,2024-06-15,Instagram,Social,IG/FB Feed+Stories,video,,18-34,all,FALSE,"running,community",prospecting,cpc,0.42," 7,000 "," 7,000 "," 1,055,506 "," 16,667 ", 0.0158 ," 105,551 ", 0.1000 ,," 9,347 ", 296 , 0.032 ," 19,373 ", 2.8 
Apparel,DE,completed,consideration,ADIDAS_LRC_001,Adidas Local Run Challenge,Adidas,sessions,EUR,ADIDAS_LRC_META_RT_1,2024-05-20,2024-06-30,Instagram,Social,IG/FB Feed+Stories,image,,25-44,all,TRUE,,retargeting,cpc,0.6," 3,000 "," 3,000 "," 306,748 "," 5,000 ", 0.0163 ,, - ,," 3,300 ", 81 , 0.025 ," 5,868 ", 2.0 
Apparel,DE,completed,consideration,ADIDAS_LRC_001,Adidas Local Run Challenge,Adidas,sessions,EUR,ADIDAS_LRC_TT_SPARK_1,2024-05-25,2024-06-10,TikTok,Social,Feed+Spark,video,,18-30,all,FALSE,"fitness,ugc,sport",prospecting,cpc,0.33," 5,000 "," 5,000 "," 1,907,672 "," 15,152 ", 0.0079 ," 190,767 ", 0.1000 ,," 8,807 ", 275 , 0.031 ," 20,061 ", 4.0 
Apparel,DE,completed,consideration,ADIDAS_LRC_001,Adidas Local Run Challenge,Adidas,sessions,EUR,ADIDAS_LRC_DISPLAY_YT_1,2024-05-28,2024-06-30,Youtube,Display,YouTube In-Stream,video,,18-44,all,FALSE,,prospecting,cpc,0.38," 7,000 "," 7,000 "," 1,089,940 "," 18,421 ", 0.0169 ," 148,132 ", 0.1359 ,," 10,280 ", 302 , 0.029 ," 17,231 ", 2.5 
Apparel,DE,completed,consideration,ADIDAS_LRC_001,Adidas Local Run Challenge,Adidas,sessions,EUR,ADIDAS_LRC_EMAIL_1,2024-05-20,2024-06-30,Salesforce Marketing Cloud,EMAIL,Inbox,html,,25-54,all,FALSE,,retargeting,flat," 2,000 "," 2,000 "," 2,000 ",,,,,," 5,200 "," 1,800 ", 42 , 0.023 ," 3,321 ", 1.7 
Apparel,DE,completed,consideration,ADIDAS_LRC_001,Adidas Local Run Challenge,Adidas,sessions,EUR,ADIDAS_LRC_AFF_1,2024-05-20,2024-06-30,Awin,Affiliate,Publisher Mixed,native,,25-45,all,TRUE,,prospecting,cpa,8," 2,000 "," 2,000 ",,,,,,," 14,250 ", 376 , 0.026 ," 29,213 ", 14.6 
Apparel,DE,completed,conversion,ADIDAS_OCR_2024_001,Adidas Owners Club Refresh,Adidas,roas,EUR,ADIDAS_OCR_SEM_BR_1,2024-03-01,2024-04-15,Google,SEM,Search,text,brand,25-54,all,FALSE,"lifestyle,running",prospecting,cpc,0.79," 5,000 "," 5,000 "," 118,300 "," 6,329 ", 0.0535 ,, - ,," 5,536 ", 326 , 0.059 ," 31,175 ", 6.2 
Apparel,DE,completed,conversion,ADIDAS_OCR_2024_001,Adidas Owners Club Refresh,Adidas,roas,EUR,ADIDAS_OCR_META_RT_1,2024-03-01,2024-04-15,Instagram,Social,IG/FB Feed+Stories,image,,25-54,all,TRUE,"running,athleisure",retargeting,cpc,0.61," 5,000 "," 5,000 "," 455,000 "," 8,200 ", 0.0180 ,, - ,," 96,500 "," 4,816 ", 0.050 ," 563,571 ", 112.7 
Apparel,DE,completed,conversion,ADIDAS_OCR_ROAS_001,Adidas Owners Club Refresh,Adidas,roas,EUR,ADIDAS_OCR_DISPLAY_RT_1,2024-03-05,2024-04-15,Google Display Network,display,Responsive Display,image,,25-54,all,TRUE,home_fitness,retargeting,cpc,0.41," 5,000 "," 5,000 "," 597,794 "," 12,195 ", 0.0204 ,, - ,   ," 8,779 ", 378 , 0.043 ," 49,602 ", 9.9 
Apparel,DE,completed,conversion,ADIDAS_OCR_2024_001,Adidas Owners Club Refresh,Adidas,roas,EUR,ADIDAS_OCR_EMAIL_1,2024-03-01,2024-04-15,Salesforce Marketing Cloud,EMAIL,Inbox,html,,25-64,all,FALSE,,retargeting,flat," 10,000 "," 10,000 "," 10,000 ",,,,,," 26,500 "," 15,200 ", 795 , 0.052 ," 111,290 ", 11.1 
Apparel,DE,completed,awareness,ADIDAS_UL_001,Adidas Ultraboost Light Launch,Adidas,sessions,EUR,ADIDAS_UL_SEM_BR_1,2024-02-01,2024-03-31,Google,SEM,Search,text,brand,"18-24,25-34,35-44",all,FALSE,"running,lifestyle",prospecting,cpc,0.79," 20,000 "," 20,000 "," 488,000 "," 25,316 ", 0.0519 ,, - ,," 25,316 ", 455 , 0.018 ," 49,601 ", 2.5 
Apparel,DE,completed,awareness,ADIDAS_UL_001,Adidas Ultraboost Light Launch,Adidas,sessions,EUR,ADIDAS_UL_META_PR_1,2024-02-01,2024-03-31,Instagram,SOCIAL,IG/FB Feed+Stories,video,,"18-24,25-34,35-44",all,TRUE,"running,fashion,street",prospecting,cpc,0.44," 65,000 "," 65,000 "," 17,120,000 "," 295,455 ", 0.0173 ," 4,070,000 ", 0.2377 ,," 184,181 "," 3,294 ", 0.018 ," 447,203 ", 6.9 
Apparel,DE,completed,awareness,ADIDAS_UL_001,Adidas Ultraboost Light Launch,Adidas,sessions,EUR,ADIDAS_UL_TT_1,2024-02-01,2024-03-31,TikTok,SOCIAL,Feed+Spark,video,,"18-24,25-34",all,FALSE,"fashion,fitness,urban",prospecting,cpc,0.33," 20,000 "," 20,000 "," 10,300,000 "," 60,606 ", 0.0059 ," 2,780,000 ", 0.2699 ,," 60,606 "," 1,298 ", 0.021 ," 171,383 ", 8.6 
Apparel,DE,completed,awareness,ADIDAS_UL_001,Adidas Ultraboost Light Launch,Adidas,sessions,EUR,ADIDAS_UL_YT_1,2024-02-01,2024-03-31,Youtube,DISPLAY,In-stream,video,,"18-24,25-34,35-44",all,FALSE,"running,community",prospecting,cpc,0.51," 40,000 "," 40,000 "," 7,002,801 "," 78,431 ", 0.0112 ," 2,145,658 ", 0.3064 ,," 78,431 "," 1,446 ", 0.018 ," 153,036 ", 3.8 
Apparel,DE,completed,consideration,ADIDAS_INF_001,Influencer Partnership Drive,Adidas,clicks,EUR,ADIDAS_INF_IG_POST_1,2024-05-10,2024-06-15,Instagram,SOCIAL,Influencer,video,,18-34,female,FALSE,bodypositive,prospecting,flat," 18,000 "," 18,000 "," 18,000 "," 634,921 "," 60,000 ", 0.0220 ," 285,714 ", 0.4500 ,," 41,188 "," 11,099 ", 0.027 ," 942,684 ", 52.4 
Apparel,DE,completed,consideration,ADIDAS_INF_001,Influencer Partnership Drive,Adidas,clicks,EUR,ADIDAS_INF_TT_POST_1,2024-05-10,2024-06-15,TikTok,SOCIAL,Influencer,video,,18-30,female,FALSE,"fitness,streetwear",prospecting,flat," 12,000 "," 12,000 "," 12,000 "," 1,219,512 "," 97,561 ", 0.0130 ," 512,195 ", 0.4200 ,," 60,199 "," 20,680 ", 0.018 ," 2,457,148 ", 204.8 
Apparel,DE,completed,consideration,ADIDAS_INF_001,Influencer Partnership Drive,Adidas,clicks,EUR,ADIDAS_INF_MAG_ART_1,2024-05-10,2024-06-15,Online Magazine,CONTENT,Influencer,video,,20-40,female,FALSE,fashion_lifestyle,prospecting,flat," 5,000 "," 5,000 "," 5,000 "," 127,421 "," 15,291 ", - ," 45,872 ", 0.3600 ,," 9,197 "," 3,098 ", 0.031 ," 365,631 ", 73.1 
Apparel,DE,completed,conversion,ADIDAS_SS_ROAS_001,Summer Sale Campaign,Adidas,roas,EUR,ADIDAS_SS_SEM_BR_1,2024-06-01,2024-06-30,Google,SEM,Search,text,brand,25-44,all,FALSE,"running,athleisure",prospecting,cpc,0.82," 10,000 "," 10,000 "," 210,000 "," 12,195 ", 0.0581 , - ,,," 12,195 ", 729 , 0.060 ," 75,449 ", 7.5 
Apparel,DE,completed,conversion,ADIDAS_SS_ROAS_001,Summer Sale Campaign,Adidas,roas,EUR,ADIDAS_SS_SEM_GEN_1,2024-06-01,2024-06-15,Google,SEM,Search,text,generic,18-34,all,FALSE,"fitness,streetwear",prospecting,cpc,1.13," 4,000 "," 4,000 "," 74,800 "," 3,539 ", 0.0473 , - ,,," 3,539 ", 216 , 0.061 ," 17,788 ", 4.4 
Apparel,DE,completed,conversion,ADIDAS_SS_ROAS_001,Summer Sale Campaign,Adidas,roas,EUR,ADIDAS_SS_META_RT_1,2024-06-01,2024-06-30,Instagram,social,IG/FB Feed+Stories,image,,25-44,all,TRUE,,retargeting,cpc,0.64," 8,000 "," 8,000 "," 618,000 "," 12,500 ", 0.0202 ,, - ,," 12,500 ", 694 , 0.056 ," 69,012 ", 8.6 
Apparel,DE,completed,conversion,ADIDAS_SS_ROAS_001,Summer Sale Campaign,Adidas,roas,EUR,ADIDAS_SS_META_PR_1,2024-06-01,2024-06-12,Instagram,social,IG/FB Feed+Stories,image,,18-34,all,FALSE,"fashion,female_style",prospecting,cpc,0.46," 3,000 "," 3,000 "," 494,000 "," 6,522 ", 0.0132 ,, - ,," 6,522 ", 360 , 0.055 ," 29,017 ", 9.7 
Apparel,DE,completed,conversion,ADIDAS_SS_ROAS_001,Summer Sale Campaign,Adidas,roas,EUR,ADIDAS_SS_AFF_1,2024-06-01,2024-06-30,Awin,AFFILIATE,Publisher Network,text,,25-54,all,FALSE,deal_seekers,prospecting,cpa,3.1," 2,000 "," 2,000 ",,,,,,," 17,480 ", 864 , 0.049 ," 83,929 ", 42.0 
Apparel,DE,completed,conversion,ADIDAS_SS_ROAS_001,Summer Sale Campaign,Adidas,roas,EUR,ADIDAS_SS_EMAIL_1,2024-06-01,2024-06-30,Salesforce Marketing Cloud,EMAIL,Inbox,html,,25-54,all,FALSE,,retargeting,flat," 2,000 "," 3,000 "," 3,000 ",,,,,," 1,880 "," 1,429 ", 74 , 0.052 ," 8,386 ", 2.8 
Home Appliances,DE,completed,awareness,DY_V15_2024_001,Dyson V15 Smart Home Launch,Dyson,sessions,EUR,DY_V15_SEM_BR_1,2024-03-01,2024-04-15,Google,SEM,Search,text,brand,25-54,all,FALSE,smart_vacuum_upper,prospecting,cpc,1.35," 15,000 "," 15,000 "," 179,500 "," 11,111 ",6.2%, - ,,," 8,227 ", 87 ,1.1%," 46,164 ", 3.1 
Home Appliances,DE,completed,awareness,DY_V15_2024_001,Dyson V15 Smart Home Launch,Dyson,sessions,EUR,DY_V15_SEM_GEN_1,2024-03-01,2024-04-10,Google,SEM,Search,text,generic,25-54,all,FALSE,auto_cleaning_tech,prospecting,cpc,2.45," 10,000 "," 10,000 "," 105,500 "," 4,082 ",3.9%, - ,,," 3,271 ", 31 ,0.9%," 16,786 ", 1.7 
Home Appliances,DE,completed,awareness,DY_V15_2024_001,Dyson V15 Smart Home Launch,Dyson,sessions,EUR,DY_V15_META_PR_1,2024-03-01,2024-03-25,Instagram,SOCIAL,Feed+Reels,video,,25-44,all,FALSE,home_lifestyle_inspo,prospecting,cpc,0.72," 58,000 "," 58,000 "," 6,394,000 "," 80,556 ",1.3%," 2,568,000 ",40.2%,," 40,842 ", 442 ,1.1%," 211,345 ", 3.6 
Home Appliances,DE,completed,awareness,DY_V15_2024_001,Dyson V15 Smart Home Launch,Dyson,sessions,EUR,DY_V15_META_RT_1,2024-03-15,2024-04-15,Instagram,SOCIAL,IG/FB Feed+Stories,video,,25-54,all,TRUE,,retargeting,cpc,0.85," 22,000 "," 22,000 "," 2,053,000 "," 25,882 ",1.3%," 205,300 ",10.0%,," 18,635 ", 201 ,1.1%," 91,544 ", 4.2 
Home Appliances,DE,completed,awareness,DY_V15_2024_001,Dyson V15 Smart Home Launch,Dyson,sessions,EUR,DY_V15_YT_1,2024-03-05,2024-04-10,Youtube,DISPLAY,In-Stream,video,,25-54,all,FALSE,premium_home_care,prospecting,cpv,0.04," 29,000 "," 29,000 "," 3,111,000 "," 25,639 ",0.8%," 725,000 ",23.3%,," 17,907 ", 148 ,0.8%," 89,462 ", 3.1 
Home Appliances,DE,completed,awareness,DY_V15_2024_001,Dyson V15 Smart Home Launch,Dyson,sessions,EUR,DY_V15_GDN_RT_1,2024-03-10,2024-04-15,Google Display Network,DISPLAY,Responsive Display,image,,25-54,all,TRUE,home_cleaning,retargeting,cpc,0.31," 11,000 "," 11,000 "," 2,335,000 "," 35,484 ",1.5%, - ,,," 18,275 ", 158 ,0.9%," 93,818 ", 8.5 
Home Appliances,DE,completed,awareness,DY_V15_2024_001,Dyson V15 Smart Home Launch,Dyson,sessions,EUR,DY_V15_EMAIL_1,2024-03-01,2024-04-15,Salesforce Marketing Cloud,EMAIL,Inbox,html,,25-64,all,TRUE,,retargeting,flat," 2,000 "," 5,000 "," 5,000 ",,,,,," 46,250 "," 17,250 ", 188 ,1.1%," 99,614 ", 19.9 
Home Appliances,DE,completed,conversion,DY_B2S_2024_001,Back-to-School Home Essentials,Dyson,roas,EUR,DY_B2S_SEM_BR_1,2024-08-10,2024-09-30,Google,SEM,Search,text,brand,25-54,all,FALSE,back_to_school,prospecting,cpc,1.35," 5,000 "," 5,000 "," 231,481 "," 3,704 ",1.6%, - ,,," 3,704 ", 60 ,1.6%," 28,742 ", 5.7 
Home Appliances,DE,completed,conversion,DY_B2S_2024_001,Back-to-School Home Essentials,Dyson,roas,EUR,DY_B2S_SEM_GEN_1,2024-08-10,2024-09-10,Google,SEM,Search,text,generic,25-44,female,FALSE,home_cleaning,prospecting,cpc,2.4," 2,000 "," 2,000 "," 51,000 ", 833 ,1.6%, - ,,, 833 , 14 ,1.7%," 6,292 ", 3.1 
Home Appliances,DE,completed,conversion,DY_B2S_2024_001,Back-to-School Home Essentials,Dyson,roas,EUR,DY_B2S_META_PR_1,2024-08-10,2024-08-25,Instagram,SOCIAL,Feed+Reels,video,,25-44,female,FALSE,home_lifestyle,prospecting,cpc,0.63," 7,000 "," 7,000 "," 2,041,667 "," 11,111 ",0.5%," 805,000 ",39.4%,," 11,111 ", 177 ,1.6%," 67,533 ", 9.6 
Home Appliances,DE,completed,conversion,DY_B2S_2024_001,Back-to-School Home Essentials,Dyson,roas,EUR,DY_B2S_META_RT_1,2024-08-20,2024-09-30,Instagram,SOCIAL,IG/FB Feed+Stories,video,,25-54,female,TRUE,,retargeting,cpc,0.78," 3,000 "," 3,000 "," 864,000 "," 3,846 ",0.4%," 372,000 ",43.1%,," 3,846 ", 68 ,1.8%," 25,168 ", 8.4 
Home Appliances,DE,completed,conversion,DY_B2S_2024_001,Back-to-School Home Essentials,Dyson,roas,EUR,DY_B2S_GDN_RT_1,2024-08-20,2024-09-30,Google Display Network,DISPLAY,Responsive Display,image,,25-54,female,TRUE,home_storage,retargeting,cpc,0.33," 7,000 "," 7,000 "," 3,295,455 "," 21,212 ",0.6%, - ,,," 21,212 ", 305 ,1.4%," 131,456 ", 18.8 
Home Appliances,DE,completed,conversion,DY_B2S_2024_001,Back-to-School Home Essentials,Dyson,roas,EUR,DY_B2S_EMAIL_1,2024-08-10,2024-09-30,Salesforce Marketing Cloud,EMAIL,Inbox,html,,25-64,female,TRUE,,retargeting,flat," 2,000 "," 2,000 "," 2,000 ",,,,,," 9,200 "," 2,400 ", 36 ,1.5%," 13,800 ", 6.9 
Home Appliances,DE,completed,conversion,DY_B2S_2024_001,Back-to-School Home Essentials,Dyson,roas,EUR,DY_B2S_AWIN_1,2024-08-10,2024-09-30,Awin,AFFILIATE,Review+Deal,image,,25-54,all,FALSE,home_care,prospecting,cpa,28," 4,000 "," 4,000 ",,,,,,," 5,200 ", 85 ,1.6%," 41,061 ", 10.3 
Home Appliances,DE,completed,conversion,DY_HOL_2024_001,Holiday Cleaning Event,Dyson,roas,EUR,DY_HOL_SEM_BR_1,2024-11-01,2024-12-20,Google,SEM,Search,text,brand,25-64,all,FALSE,holiday_cleaning,prospecting,cpc,1.45," 3,733 "," 3,733 "," 218,666 "," 15,466 ",7.1%,,0.0%,," 12,106 ", 581 ,4.8%," 271,974 ", 72.9 
